55,98,54,45,77,67,25
96,90,32,67,23,51,72
89,37,99,30,71,92,62
41,37,41,48,96,57,57
32,38,79,83,36,68,31
20,49,43,34,38,63,84
96,23,67,91,80,53,46
47,36,25,73,95,96,28
93,73,92,87,99,100,82
85,68,64,97,95,51,50
54,56,81,40,59,53,64
21,62,27,29,54,53,39
91,49,68,35,63,43,20
93,63,59,76,32,29,75
29,53,91,25,30,91,64
99,23,70,78,48,45,79
48,21,31,31,43,96,61
68,54,80,48,44,31,83
40,27,55,55,69,65,26
87,92,48,20,29,36,19
32,88,25,46,71,26,88
63,53,41,32,52,83,33
51,25,31,23,26,57,93
75,42,34,54,22,25,47
68,65,44,48,51,92,41
100,36,19,43,30,32,92
53,35,48,72,29,78,69
34,52,80,84,97,72,65
24,75,37,65,52,100,61
72,81,54,64,39,46,69
97,35,60,92,70,68,28
21,66,80,69,73,72,87
30,88,97,51,82,82,31
24,85,40,71,63,43,50
92,38,49,87,34,89,100
57,85,20,61,86,90,97
25,68,57,23,31,26,76
43,71,58,87,67,76,76
37,48,77,96,70,42,88
56,56,92,65,100,44,39
39,57,40,95,68,88,78
60,38,71,26,63,62,77
65,79,82,60,78,81,45
91,54,49,26,22,79,42
86,89,86,48,48,19,35
82,86,81,78,86,72,78
52,46,98,92,85,43,99
74,42,76,47,23,98,63
80,75,60,62,87,53,68
58,19,26,71,40,100,45
25,40,82,58,20,62,73
49,89,40,81,44,27,44
94,31,59,74,93,51,38
68,87,29,62,78,18,80
71,55,39,61,20,78,86
95,59,25,61,96,75,89
85,33,24,37,81,36,74
73,36,69,45,65,75,22
42,68,27,44,85,101,27
44,55,49,67,27,19,68
31,58,69,43,100,90,22
41,50,40,79,36,53,85
56,54,77,39,75,97,91
33,32,89,99,48,76,62
96,95,59,91,80,45,39
85,96,60,45,35,92,79
72,64,94,57,30,46,83
76,88,35,61,46,34,72
24,82,86,101,93,78,99
55,23,93,91,58,35,98
88,26,82,42,79,72,21
72,70,80,48,79,92,46
55,76,43,80,75,31,72
54,38,33,73,32,49,23
55,87,50,71,89,26,96
59,21,57,52,25,58,88
40,74,67,99,100,88,83
45,51,64,43,25,19,49
85,56,28,38,49,57,23
26,25,95,75,18,71,51
88,85,18,93,67,87,65
74,89,21,28,42,88,33
78,86,25,44,54,60,86
82,45,26,95,77,59,47
58,34,67,79,73,43,95
34,62,38,80,29,80,69
28,53,70,48,20,57,75
55,26,66,21,34,26,61
50,32,56,27,82,54,70
87,53,88,85,74,95,27
19,78,77,48,52,92,43
70,20,66,37,84,91,61
81,89,81,34,41,34,87
69,83,98,68,101,33,24
89,39,45,45,24,101,20
42,72,94,44,63,32,49
59,75,44,45,79,58,29
78,43,28,45,25,41,52
98,81,32,66,33,24,69
28,24,32,84,83,39,45
78,44,51,92,24,54,21
66,19,43,64,54,18,92
18,37,88,101,85,99,79
62,45,34,88,27,52,73
23,83,92,29,50,32,18
43,72,56,19,26,26,77
52,74,37,93,35,35,89
49,71,77,86,22,80,39
73,84,52,62,45,99,59
38,76,39,83,45,46,71
35,24,73,60,68,53,70
97,76,80,71,25,69,79
69,73,69,23,39,75,67
49,49,46,87,93,83,64
50,74,92,90,72,96,42
34,50,62,75,25,44,37
90,100,67,54,71,46,54
50,30,55,60,96,83,38
52,21,88,23,63,48,27
97,44,33,19,49,43,34
87,101,57,27,75,38,96
33,73,99,22,46,20,77
73,98,24,48,30,37,49
59,26,53,92,89,31,39
27,27,99,50,100,71,88
20,97,24,22,86,56,101
82,93,23,33,66,31,29
30,31,24,52,87,95,60
63,53,38,27,92,21,78
79,66,72,55,97,81,90
75,85,54,32,87,34,100
77,59,47,37,48,25,21
25,96,101,82,76,45,19
80,26,83,88,95,70,62
41,28,43,62,32,70,70
44,35,85,77,19,95,63
33,45,66,25,44,81,55
99,18,24,90,54,23,36
57,74,76,32,56,33,78
88,65,78,88,94,35,87
62,58,26,18,25,56,42
47,94,50,28,86,77,68
57,54,59,50,64,98,45
75,56,35,75,100,31,36
38,28,83,20,84,18,83
22,77,28,57,46,39,95
75,41,92,39,56,26,31
88,46,27,52,65,25,34
24,78,76,54,90,31,58
33,89,51,101,63,95,46
56,87,34,30,71,39,38
84,76,28,99,39,43,55
95,46,49,98,100,46,64
101,66,72,26,26,74,31
68,19,96,41,27,69,68
99,91,69,63,35,61,60
82,46,68,65,69,50,74
41,33,92,94,20,96,20
98,80,26,91,61,21,89
97,56,90,46,93,100,88
98,100,39,50,29,45,20
101,34,95,52,49,38,91
64,33,61,93,26,78,31
30,88,31,35,75,37,39
57,66,60,40,53,91,53
84,41,55,79,60,74,96
30,38,23,35,73,69,23
38,57,67,84,37,36,35
99,20,51,42,44,19,31
20,82,85,98,55,88,20
101,82,78,66,94,95,21
36,66,97,24,96,78,95
19,63,81,44,44,22,91
25,33,54,59,32,34,32
71,93,19,100,22,53,68
43,34,62,89,92,68,38
69,72,27,69,90,41,101
77,52,20,80,41,77,45
61,74,46,80,34,33,30
68,27,88,75,35,77,101
22,95,43,73,71,87,83
19,40,52,88,48,93,45
81,39,18,63,63,100,26
34,98,21,76,85,80,40
34,90,54,26,87,28,42
96,81,57,59,97,96,54
37,89,24,20,47,29,55
63,43,31,19,82,42,100
72,99,50,50,88,51,38
55,98,42,41,99,76,72
26,39,20,71,93,80,51
90,24,31,96,101,22,63
31,38,54,19,88,44,89
72,79,67,24,91,41,30
86,19,29,87,42,66,75
62,31,97,53,51,86,67
71,46,96,31,100,32,49
49,37,65,64,59,79,88
68,22,22,42,29,32,88
23,26,87,80,32,61,93
80,75,50,32,94,59,35
